,LC61,PERM61,RH61
0,100000.0,100000.0,100000.0
1,94514.79999999999,98477.88809,94661.221
2,94209.33000000002,98386.60513,94355.76999999999
3,94043.70999999999,98310.95989,94190.038
4,93950.59999999999,98248.62491,94096.83600000001
5,93867.82999999999,98197.48853,94013.973
6,93814.14000000001,98155.07904,93960.213
7,93759.45,98119.17322,93905.45
8,93718.29,98087.26144,93864.234
9,93673.4,98058.094,93819.28400000001
10,93631.99,98030.07856,93777.825
11,93594.91,98001.80105,93740.697
12,93555.98,97974.64015,93701.70899999999
13,93520.23999999999,97946.02677,93665.921
14,93480.31000000001,97914.90585,93625.93500000001
15,93433.38,97879.57995,93578.946
16,93382.18000000001,97839.31315,93527.679
17,93320.08,97793.47967,93465.504
18,93237.20999999999,97741.89878,93382.543
19,93140.99,97684.11117,93286.222
20,93042.08,97620.69528,93187.20499999999
21,92940.57,97552.8032,93085.59300000001
22,92849.11,97481.77241,92994.04200000002
23,92730.45,97409.36685,92875.271
24,92628.81999999999,97336.61877,92773.53600000001
25,92506.27,97264.70595,92650.87700000001
26,92390.18,97194.17381,92534.67300000001
27,92251.5,97125.02576,92395.883
28,92104.54,97057.03381,92248.814
29,91935.06999999999,96990.215,92079.23199999999
30,91756.90000000001,96923.95004,91900.95499999999
31,91553.29,96857.89541,91697.253
32,91340.15,96791.75045,91484.03
33,91133.18,96725.06708,91276.962
34,90921.75,96657.63506,91065.444
35,90684.98999999999,96589.10412,90828.618
36,90462.18000000001,96518.84338,90605.726
37,90287.58,96446.30761,90431.026
38,90111.43,96370.72543,90254.76699999999
39,89946.35,96291.14169,90089.571
40,89774.91,96206.31513,89918.024
41,89603.01,96115.17974,89739.022
42,89423.54,96016.57179,89554.9
43,89229.7,95910.41056,89360.527
44,89034.21,95795.68853,89154.658
45,88821.48,95671.76978,88938.009
46,88606.79000000001,95537.77654,88706.88
47,88371.75,95393.00897,88462.98199999999
48,88121.76999999999,95236.67363,88199.24
49,87855.12000000001,95067.93309,87918.139
50,87574.51999999999,94885.67499,87622.422
51,87270.45,94688.90764,87304.452
52,86934.66,94476.46218,86961.53
53,86576.84,94247.33815,86592.58
54,86207.18000000001,94000.68799,86215.708
55,85777.28,93736.02532,85790.163
56,85335.40000000001,93452.97105,85352.387
57,84851.11000000002,93151.43218,84876.024
58,84331.65000000001,92831.59009,84368.31700000001
59,83797.23,92493.92548,83842.10399999999
60,83225.76,92139.39908,83284.96800000001
61,82605.39000000001,91768.89477,82682.81300000001
62,81959.29000000001,91383.25729,82061.92199999999
63,81277.39,90953.28623,81409.87299999999
64,80558.33,90483.04886,80724.11600000001
65,79809.79000000001,89977.21317,80012.211
66,79016.95999999999,89443.45222,79258.615
67,78185.32,88890.8765,78470.412
68,77339.74,88326.77814,77668.495
69,76442.42,87755.57728,76824.757
70,75507.09,87177.14575,75948.772
71,74513.7,86586.15355,75031.05099999999
72,73472.06,85971.3726,74078.37400000001
73,72373.32,85318.61726,73082.212
74,71220.48,84607.13423,72054.824
75,69988.45999999999,83821.22433,70978.02399999999
76,68673.3,82947.49791,69850.859
77,67282.63,81974.364,68689.897
78,65768.23999999999,80887.35946,67466.015
79,64132.16,79673.07521,66193.589
80,62340.600000000006,78312.28169,64847.587999999996
81,60367.78,76783.46992,63422.08899999999
82,58239.840000000004,75073.24989,61933.958
83,55918.47,73157.29343,60361.656
84,53362.56999999999,71029.85473,58680.899
85,50561.63,68669.7886,56905.132999999994
86,47506.76,66077.13731,55028.287
87,44261.63,63223.34738,53084.336
88,40825.76,60122.91119,51075.406
89,37096.17,56802.45486,48939.758
90,33215.82,53299.86822,46744.452000000005
91,29161.489999999998,49662.73126,44430.079
92,25074.589999999997,45928.46733,42015.504
93,21098.43,42092.34141,39382.915
94,17164.54,38158.87551,36590.71
95,12430.740000000002,34125.16439,33697.469
96,8716.787,30063.16835,30759.961
97,5912.1230000000005,26043.60541,27831.383
98,3873.997,22166.89917,24959.887
99,2449.454,18520.10226,22187.451
100,1492.4479999999999,15147.21342,19549.118000000002
101,875.0459,12087.89694,17072.603
102,492.9426,9402.00771,14778.243999999999
103,266.36199999999997,7099.70972,12679.262
104,137.8073,5180.06543,10782.277999999998
105,68.13,3630.28575,9088.03
106,32.11673,2425.73086,7592.219
107,14.40182,1530.86569,6286.434
108,6.127091,901.96053,5159.094
109,2.465886,499.36674,4196.358
110,0.9357390999999999,256.71559,3382.9700000000003
