,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
0,0.043976,0.038047,0.03575,0.035966,0.033229,0.03309,0.030752,0.028316,0.027533,0.025175,0.023223,0.020656,0.018742,0.017919,0.016602,0.015079,0.013885,0.013422,0.012356,0.010322,0.010216,0.009957
1,0.003789,0.002843,0.002667,0.002164,0.001861,0.001642,0.001434,0.001364,0.001367,0.001387,0.001404,0.001329,0.001346,0.001123,0.001148,0.001085,0.001102,0.001158,0.000978,0.000987,0.000859,0.000793
2,0.001734,0.001668,0.001473,0.001205,0.001049,0.001127,0.000913,0.00083,0.000944,0.000765,0.00101,0.00088,0.000851,0.000673,0.000701,0.000649,0.000749,0.000753,0.000619,0.000629,0.000607,0.000409
3,0.001046,0.000998,0.001093,0.000868,0.00078,0.000714,0.000667,0.000641,0.000671,0.000736,0.000664,0.000693,0.000639,0.000558,0.000497,0.00044,0.000475,0.000494,0.000491,0.000396,0.000357,0.000334
4,0.000854,0.000831,0.000862,0.00065,0.000654,0.000603,0.000549,0.000504,0.000542,0.000494,0.000542,0.000485,0.000522,0.00045,0.000376,0.000372,0.000384,0.000379,0.000349,0.000328,0.000346,0.000255
5,0.000623,0.000693,0.000601,0.000526,0.000471,0.000504,0.000491,0.000397,0.000432,0.000439,0.000378,0.000455,0.000395,0.000393,0.000352,0.000388,0.000347,0.000265,0.000336,0.000333,0.000293,0.000231
6,0.000548,0.000638,0.000535,0.000537,0.000419,0.000443,0.000438,0.000442,0.000342,0.000388,0.000423,0.000355,0.000352,0.000325,0.000407,0.000296,0.000249,0.000293,0.000262,0.000334,0.000244,0.000212
7,0.000655,0.000496,0.000552,0.000483,0.000395,0.000366,0.000335,0.000363,0.000363,0.000361,0.00036,0.000366,0.000329,0.000363,0.000301,0.000251,0.000308,0.000309,0.00024,0.000287,0.000233,0.000225
8,0.000513,0.000442,0.000594,0.000373,0.000366,0.000272,0.000332,0.00038,0.000335,0.000377,0.000368,0.000362,0.00031,0.000293,0.000299,0.000251,0.000237,0.000285,0.000287,0.000237,0.000234,0.000214
9,0.000482,0.000445,0.000349,0.000327,0.000344,0.000341,0.000245,0.000272,0.000276,0.000254,0.000268,0.000277,0.000287,0.000349,0.000254,0.000236,0.000247,0.00031,0.000266,0.000236,0.00019,0.00019
10,0.000433,0.000439,0.00041,0.000338,0.000283,0.000308,0.000291,0.000258,0.000268,0.000354,0.000243,0.00028,0.00026,0.00018,0.000283,0.000278,0.000244,0.000234,0.000246,0.000252,0.000204,0.000181
11,0.000424,0.000391,0.000407,0.000291,0.00035,0.000294,0.000234,0.00033,0.000312,0.000278,0.000292,0.000272,0.000263,0.000256,0.000303,0.000252,0.000234,0.00029,0.000249,0.000267,0.00017,0.000173
12,0.000446,0.000583,0.00048,0.000489,0.000444,0.000308,0.000346,0.000307,0.000412,0.000329,0.000278,0.000292,0.000243,0.000295,0.000261,0.000237,0.000217,0.000221,0.000187,0.00027,0.000232,0.000211
13,0.000376,0.000467,0.000398,0.000309,0.000299,0.000343,0.000334,0.000331,0.000344,0.000249,0.000326,0.000269,0.000318,0.000291,0.000265,0.000217,0.000259,0.000281,0.000244,0.000175,0.000224,0.000238
14,0.000344,0.000441,0.000438,0.000364,0.000401,0.000455,0.000384,0.000273,0.000327,0.000318,0.000359,0.00032,0.000282,0.000311,0.0003,0.000287,0.00021,0.000323,0.000302,0.000222,0.000309,0.000211
15,0.000441,0.000461,0.000424,0.000414,0.000353,0.000359,0.000358,0.000384,0.000338,0.000282,0.000381,0.000325,0.000348,0.000306,0.0003,0.00028,0.000306,0.000372,0.000289,0.000329,0.00029,0.000251
16,0.000522,0.000483,0.000451,0.000379,0.000398,0.000438,0.000344,0.000346,0.000373,0.000345,0.000387,0.000383,0.000401,0.000314,0.000293,0.000307,0.000417,0.000287,0.00034,0.000313,0.000317,0.000269
17,0.000491,0.000468,0.000466,0.000496,0.00039,0.0004,0.0004,0.000364,0.000417,0.000429,0.000373,0.000303,0.000432,0.000377,0.000326,0.000277,0.000304,0.000329,0.000329,0.000333,0.000319,0.00034
18,0.000589,0.000542,0.000451,0.000509,0.000404,0.000363,0.000486,0.000453,0.000468,0.000479,0.000393,0.000379,0.000414,0.000397,0.000385,0.000368,0.000321,0.000399,0.000385,0.000325,0.000327,0.000363
19,0.00056,0.000514,0.000498,0.000533,0.000486,0.000509,0.000471,0.000384,0.000486,0.000425,0.000415,0.000434,0.000466,0.000469,0.000383,0.0004,0.000355,0.000365,0.000406,0.000313,0.000296,0.000386
20,0.000576,0.000589,0.000492,0.000523,0.00055,0.00043,0.000539,0.000451,0.000474,0.000468,0.000491,0.000555,0.000429,0.000476,0.000345,0.0004,0.000395,0.000421,0.000369,0.000351,0.000376,0.00034
21,0.000604,0.000585,0.000643,0.000484,0.000459,0.000506,0.000465,0.000542,0.000515,0.000496,0.000534,0.000489,0.0005,0.000398,0.000421,0.000309,0.000361,0.000378,0.000443,0.000373,0.000391,0.000364
22,0.000726,0.000842,0.00069,0.0007,0.000618,0.000607,0.000607,0.000589,0.000577,0.000515,0.000522,0.000601,0.000487,0.000438,0.000466,0.000351,0.000368,0.000393,0.000402,0.000393,0.000347,0.000363
23,0.000757,0.000669,0.000679,0.000633,0.000651,0.000677,0.000534,0.00055,0.000647,0.000604,0.000591,0.000508,0.000612,0.000533,0.000406,0.000413,0.000478,0.000381,0.000488,0.000363,0.000404,0.000341
24,0.000776,0.000883,0.000738,0.000707,0.000685,0.000715,0.000701,0.000584,0.000677,0.000558,0.000579,0.000541,0.00056,0.000462,0.000415,0.000429,0.000463,0.000474,0.000364,0.000393,0.000368,0.000388
25,0.0009,0.000877,0.000778,0.000782,0.000708,0.000653,0.00069,0.000583,0.000648,0.000724,0.000494,0.000635,0.000564,0.000581,0.000522,0.000493,0.000412,0.000475,0.000386,0.000436,0.000462,0.000369
26,0.000974,0.001004,0.000905,0.000867,0.000788,0.00077,0.000709,0.000607,0.000692,0.000697,0.000633,0.000676,0.000626,0.00063,0.00046,0.000479,0.0005,0.000459,0.000589,0.000389,0.000364,0.000429
27,0.001098,0.001011,0.000986,0.000907,0.000721,0.000663,0.000727,0.000654,0.000804,0.000712,0.000589,0.000679,0.000689,0.000576,0.000494,0.000493,0.000522,0.000523,0.000467,0.000432,0.000419,0.000419
28,0.001217,0.001263,0.001058,0.000838,0.000853,0.000869,0.000696,0.000889,0.000711,0.000764,0.000706,0.000696,0.000622,0.000499,0.000544,0.000494,0.000479,0.000537,0.000452,0.000466,0.000478,0.000428
29,0.001075,0.000945,0.000979,0.000963,0.000875,0.000858,0.000945,0.00086,0.000876,0.000731,0.000735,0.00071,0.000602,0.000672,0.00056,0.000557,0.000506,0.000472,0.000522,0.000536,0.000435,0.000378
30,0.001097,0.001147,0.001115,0.001049,0.000952,0.000978,0.000858,0.000769,0.000906,0.000839,0.000699,0.000829,0.000732,0.000686,0.0007,0.000655,0.000617,0.000687,0.000585,0.000607,0.000497,0.000476
31,0.001108,0.001089,0.001001,0.00098,0.000908,0.000851,0.00081,0.000914,0.000936,0.000761,0.000786,0.000834,0.00087,0.000694,0.000635,0.00059,0.000677,0.000646,0.00058,0.000642,0.000567,0.000539
32,0.001316,0.001388,0.001251,0.001281,0.001081,0.001006,0.00104,0.000966,0.000977,0.00084,0.000911,0.000807,0.001061,0.000834,0.000738,0.000627,0.00067,0.000587,0.000611,0.000543,0.000584,0.000556
33,0.001318,0.001345,0.0012,0.001104,0.001048,0.001162,0.00117,0.000997,0.001083,0.00092,0.00099,0.000843,0.000916,0.00089,0.000758,0.000818,0.000682,0.000745,0.000704,0.000645,0.000604,0.000553
