"","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982"
"0",0.043976,0.038047,0.03575,0.035966,0.033229,0.03309,0.030752,0.028316,0.027533,0.025175,0.023223,0.020656,0.018742,0.017919,0.016602,0.015079,0.013885,0.013422,0.012356,0.010322,0.010216,0.009957
"1",0.002843,0.002667,0.002164,0.001861,0.001642,0.001434,0.001364,0.001367,0.001387,0.001404,0.001329,0.001346,0.001123,0.001148,0.001085,0.001102,0.001158,0.000978,0.000987,0.000859,0.000793,0.000909
"2",0.001473,0.001205,0.001049,0.001127,0.000913,0.00083,0.000944,0.000765,0.00101,0.00088,0.000851,0.000673,0.000701,0.000649,0.000749,0.000753,0.000619,0.000629,0.000607,0.000409,0.000543,0.000517
"3",0.000868,0.00078,0.000714,0.000667,0.000641,0.000671,0.000736,0.000664,0.000693,0.000639,0.000558,0.000497,0.00044,0.000475,0.000494,0.000491,0.000396,0.000357,0.000334,0.000335,0.000318,0.000385
"4",0.000654,0.000603,0.000549,0.000504,0.000542,0.000494,0.000542,0.000485,0.000522,0.00045,0.000376,0.000372,0.000384,0.000379,0.000349,0.000328,0.000346,0.000255,0.000302,0.000265,0.000226,0.000281
"5",0.000504,0.000491,0.000397,0.000432,0.000439,0.000378,0.000455,0.000395,0.000393,0.000352,0.000388,0.000347,0.000265,0.000336,0.000333,0.000293,0.000231,0.000278,0.000241,0.000233,0.000215,0.000209
"6",0.000438,0.000442,0.000342,0.000388,0.000423,0.000355,0.000352,0.000325,0.000407,0.000296,0.000249,0.000293,0.000262,0.000334,0.000244,0.000212,0.000193,0.00016,0.000203,0.000247,0.000167,0.000193
"7",0.000363,0.000363,0.000361,0.00036,0.000366,0.000329,0.000363,0.000301,0.000251,0.000308,0.000309,0.00024,0.000287,0.000233,0.000225,0.000186,0.000183,0.000221,0.000233,0.000201,0.00017,0.000224
"8",0.000335,0.000377,0.000368,0.000362,0.00031,0.000293,0.000299,0.000251,0.000237,0.000285,0.000287,0.000237,0.000234,0.000214,2e-04,0.000229,0.00023,0.000188,0.000151,0.000152,0.000145,0.000149
"9",0.000254,0.000268,0.000277,0.000287,0.000349,0.000254,0.000236,0.000247,0.00031,0.000266,0.000236,0.00019,0.00019,0.000185,0.000166,0.000161,0.000211,0.000178,0.000164,0.000159,0.000152,0.000144
"10",0.000243,0.00028,0.00026,0.00018,0.000283,0.000278,0.000244,0.000234,0.000246,0.000252,0.000204,0.000181,0.000196,0.000184,0.000174,0.000154,0.000125,0.000181,0.000181,0.000159,0.000152,0.000151
"11",0.000272,0.000263,0.000256,0.000303,0.000252,0.000234,0.00029,0.000249,0.000267,0.00017,0.000173,0.000187,0.000161,0.000187,0.000168,0.00012,0.000185,0.000132,0.000154,0.000151,0.000133,9.3e-05
"12",0.000243,0.000295,0.000261,0.000237,0.000217,0.000221,0.000187,0.00027,0.000232,0.000211,0.000179,0.000221,0.000229,0.000196,0.000174,0.000129,0.000191,0.000216,0.000186,0.000182,0.00015,0.00015
"13",0.000291,0.000265,0.000217,0.000259,0.000281,0.000244,0.000175,0.000224,0.000238,0.000164,0.000182,0.00014,0.000222,0.000177,0.000155,0.000181,0.000234,0.000167,0.000179,0.000111,0.000182,0.000164
"14",3e-04,0.000287,0.00021,0.000323,0.000302,0.000222,0.000309,0.000211,0.000235,0.000233,0.000279,0.000217,0.000219,0.000198,0.000234,0.000217,0.000242,0.00022,0.000191,0.000173,0.00018,0.000171
"15",0.00028,0.000306,0.000372,0.000289,0.000329,0.00029,0.000251,0.00028,0.00027,0.000239,0.000285,0.000223,0.000271,0.000278,0.000273,0.000231,0.000247,0.000247,0.000183,0.000165,0.000201,0.000234
"16",0.000417,0.000287,0.00034,0.000313,0.000317,0.000269,0.00028,0.000317,0.000267,0.00033,0.000357,0.000291,0.000295,0.000327,0.000245,0.000209,0.000251,0.00022,0.000253,0.000283,0.000267,0.000259
"17",0.000329,0.000329,0.000333,0.000319,0.00034,0.000341,0.00029,0.000283,0.000299,0.000315,0.000338,0.000337,0.000344,0.000305,0.000309,0.000259,0.000232,0.000231,0.000229,0.000244,0.000307,0.00022
"18",0.000385,0.000325,0.000327,0.000363,0.000359,0.00033,0.000321,0.000361,0.000513,0.000375,0.00045,0.00039,0.000447,0.000322,0.000278,0.000233,0.000254,0.000248,0.000247,0.000276,0.000232,0.000241
"19",0.000313,0.000296,0.000386,0.000436,0.000392,0.000378,0.000394,0.000471,0.000376,0.000431,0.000413,0.000404,0.000345,0.000351,0.000241,0.00025,0.000253,0.000302,0.000265,0.000271,0.000282,0.000218
"20",0.000376,0.00034,0.00032,0.000364,0.000378,0.000374,0.000407,0.000449,0.000456,0.000431,0.00044,0.000436,0.000343,0.000294,0.000272,0.000263,0.000245,0.000239,0.000219,0.000289,0.000253,0.000261
"21",0.000364,0.000328,0.00037,0.000378,0.000401,0.000422,0.000406,0.000381,0.000427,0.000406,0.00042,0.000352,0.000251,0.000287,0.000238,0.000235,0.000255,0.000253,0.000256,0.000231,0.000248,0.000288
"22",0.000372,0.000372,0.000352,0.000329,0.000387,0.000396,0.000426,0.000422,0.000481,0.000354,0.000359,0.00032,0.000307,0.00033,0.000237,0.000246,0.000245,0.000275,0.000251,0.000315,0.00025,0.000228
"23",0.00039,0.000367,0.000415,0.000476,0.000435,0.000435,0.000389,0.000434,0.000441,0.000393,0.000336,0.000361,0.000321,0.000296,0.000274,0.000291,0.000226,0.00025,0.000249,0.000245,0.000274,0.000194
"24",0.000405,0.000441,0.000551,0.000452,0.000425,0.000507,0.000459,0.000413,0.000363,0.000351,0.00039,0.000377,0.000265,0.000295,0.000304,0.000315,0.000225,0.000236,0.000235,0.000235,0.000269,0.000197
"25",0.00041,0.000366,0.000563,0.000578,0.000452,0.00052,0.000532,0.000414,0.000417,0.000423,0.000443,0.000345,0.00033,0.000222,0.000288,0.000296,0.000246,0.000272,0.000251,0.000216,0.000201,0.000169
"26",0.000402,0.000555,0.000487,0.000489,0.000537,0.000502,0.000576,0.000421,0.000437,0.000437,0.000335,0.000356,0.000278,0.000292,0.000284,0.000237,0.000283,0.000239,0.000259,0.000233,0.000188,0.000191
"27",0.000474,0.000514,0.000591,0.000533,0.000525,0.000581,0.000645,0.000481,0.000488,0.000349,0.000327,0.00031,0.000321,0.000299,0.000291,0.000281,0.000263,0.000217,0.000269,0.000206,0.000206,0.000209
"28",0.000533,0.000563,0.000575,0.000632,0.000588,0.000624,0.00054,0.000566,0.00038,0.000424,0.000269,0.000308,0.000384,0.000317,3e-04,0.000293,0.000217,0.000231,0.000211,0.000215,0.000223,0.000197
"29",0.000657,0.000621,0.000677,0.000641,0.000618,0.000643,0.000663,0.00047,0.000363,0.000474,0.000294,0.000342,0.000346,0.00031,0.000307,0.000255,0.000223,0.000287,0.000222,0.000251,0.000242,0.000208
"30",0.000664,0.000601,0.000628,0.000681,0.000618,0.000671,0.000504,0.000389,0.000392,0.000466,0.000404,0.000387,0.000321,0.000323,0.000296,0.000232,0.000302,0.000272,0.000231,0.000224,0.000262,0.00025
"31",0.000573,0.000698,0.000683,0.000718,0.000746,0.000603,0.000435,0.000492,0.000378,0.00037,0.000381,0.00039,0.000401,0.000331,0.000298,0.000296,0.000249,0.00025,0.000246,0.000283,0.000243,0.000235
