,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
0,0.054852,0.047749,0.047976,0.045806,0.04316,0.040372,0.039427,0.036922,0.03487,0.032335,0.029518,0.025715,0.024743,0.02308,0.020887,0.019653,0.01783,0.016858,0.015641,0.013623,0.013345,0.012192
1,0.003868,0.003232,0.002883,0.002331,0.002008,0.001772,0.001629,0.001496,0.001513,0.001514,0.001773,0.001476,0.001502,0.001313,0.001343,0.001259,0.001251,0.001301,0.001215,0.00111,0.00104,0.000936
2,0.002127,0.001877,0.001758,0.001487,0.001347,0.001119,0.001093,0.00116,0.001135,0.001074,0.001044,0.000993,0.001068,0.000973,0.000777,0.000718,0.000771,0.000817,0.000794,0.000803,0.000754,0.000666
3,0.001376,0.001274,0.001266,0.00099,0.000904,0.000805,0.000799,0.000797,0.000745,0.000821,0.000843,0.00079,0.000703,0.000752,0.000705,0.000581,0.000712,0.000617,0.000706,0.000538,0.000614,0.000456
4,0.000986,0.001115,0.001086,0.000945,0.000881,0.000867,0.000729,0.000747,0.000746,0.000726,0.000748,0.000675,0.000596,0.000605,0.000643,0.000473,0.000504,0.000503,0.000544,0.000406,0.000437,0.000342
5,0.000853,0.000848,0.000935,0.000759,0.000705,0.000572,0.000585,0.000549,0.000598,0.000585,0.000578,0.000552,0.000626,0.000587,0.000503,0.000541,0.00047,0.000421,0.000482,0.000465,0.000409,0.000392
6,0.000711,0.000744,0.000798,0.000664,0.000622,0.000623,0.000583,0.000515,0.000611,0.000624,0.000507,0.000525,0.000543,0.000486,0.000413,0.00045,0.000447,0.00038,0.000421,0.000556,0.000343,0.000364
7,0.000775,0.000633,0.000764,0.000562,0.000651,0.000513,0.000474,0.000439,0.000494,0.000552,0.000484,0.000474,0.00051,0.000501,0.000421,0.000406,0.000473,0.000405,0.000439,0.000382,0.000367,0.00027
8,0.00061,0.00063,0.000622,0.000589,0.000518,0.000516,0.000482,0.000449,0.000479,0.000519,0.000487,0.000469,0.000417,0.000415,0.000445,0.000385,0.000414,0.000471,0.000392,0.000335,0.000294,0.000343
9,0.000587,0.000633,0.000543,0.00048,0.000552,0.000514,0.00051,0.000494,0.000451,0.000442,0.000472,0.000425,0.000402,0.000418,0.000368,0.000381,0.000408,0.000382,0.000329,0.000323,0.000314,0.000308
10,0.000553,0.000486,0.00049,0.000479,0.000471,0.000457,0.000439,0.000401,0.000446,0.000376,0.000396,0.000378,0.00047,0.000342,0.000364,0.000323,0.000344,0.000345,0.000442,0.000412,0.000317,0.000285
11,0.000506,0.000497,0.000535,0.000495,0.000447,0.000374,0.000369,0.000387,0.000378,0.000455,0.000378,0.000416,0.00033,0.000423,0.000313,0.000302,0.000327,0.00036,0.00027,0.000302,0.000286,0.000299
12,0.000539,0.000515,0.00061,0.000596,0.000562,0.0005,0.000393,0.00051,0.000486,0.00041,0.000447,0.000399,0.000382,0.000367,0.000369,0.000407,0.000389,0.000422,0.000353,0.000338,0.000314,0.000307
13,0.000556,0.000538,0.000519,0.000563,0.000527,0.00047,0.000573,0.000462,0.000433,0.000445,0.000492,0.000407,0.000372,0.000427,0.000431,0.000359,0.000436,0.000371,0.000383,0.000355,0.000385,0.000338
14,0.000653,0.000768,0.00054,0.000684,0.000591,0.000648,0.000599,0.000663,0.000522,0.000529,0.000559,0.000504,0.000616,0.000556,0.000502,0.000456,0.00042,0.000427,0.00054,0.000396,0.000473,0.000317
