,Cohorte,log(qx),Edad
3108,1936,-2.08876486914072,0
3109,1936,-3.32479205045975,1
3110,1936,-4.16756062455336,2
3111,1936,-4.747886488189686,3
3112,1936,-5.084820192285632,4
3113,1936,-5.3370581948644675,5
3114,1936,-5.479839243171427,6
3115,1936,-5.763532479061975,7
3116,1936,-5.907123398674231,8
3117,1936,-6.0157572396770265,9
3118,1936,-6.101279413115189,10
3119,1936,-6.092390465697942,11
3120,1936,-6.087975447488826,12
3121,1936,-6.032286541628237,13
3122,1936,-5.829345697631547,14
3123,1936,-5.871018394032115,15
3124,1936,-5.588669667555696,16
3125,1936,-5.240048458424061,17
3126,1936,-4.919880930827792,18
3127,1936,-4.857485114602581,19
3128,1936,-4.671309988492636,20
3129,1936,-4.7490405564077935,21
3130,1936,-4.555428094093277,22
3131,1936,-4.545016263168344,23
3132,1936,-4.531919724248499,24
3133,1936,-4.507136445716726,25
3134,1936,-4.584387646805562,26
3135,1936,-4.5912672808191,27
3136,1936,-4.513502997462267,28
3137,1936,-4.772406105364005,29
3138,1936,-4.36300862883812,30
3139,1936,-4.876978909283582,31
3140,1936,-4.600182644477052,32
3141,1936,-4.611188258313654,33
3142,1936,-4.61421093064024,34
3143,1936,-4.384429519290192,35
3144,1936,-4.07689764861838,36
3145,1936,-4.583408694206579,37
3146,1936,-5.169045030843898,38
3147,1936,-4.56594947283481,39
3148,1936,-4.127694541903655,40
3149,1936,-4.670242182731807,41
3150,1936,-4.175988551262611,42
3151,1936,-4.3412686422017135,43
3152,1936,-4.311009147438601,44
3153,1936,-4.106214734792588,45
3154,1936,-4.257334190716564,46
3155,1936,-4.194385916402327,47
3156,1936,-4.017383521085972,48
3157,1936,-4.179902450583747,49
3158,1936,-3.713582066754308,50
3159,1936,-4.358310108056566,51
3160,1936,-3.843897176380546,52
3161,1936,-3.9851314772487845,53
3162,1936,-3.850457649769991,54
3163,1936,-3.8907508701526066,55
3164,1936,-3.790247948502225,56
3165,1936,-3.6985258311657416,57
3166,1936,-3.5526018358213887,58
3167,1936,-3.6741879053709465,59
3168,1936,-3.1519183567433195,60
3169,1936,-3.766624802738789,61
3170,1936,-3.2178763245351174,62
3171,1936,-3.2547621034326095,63
3172,1936,-3.079983826001582,64
3173,1936,-3.086970753988262,65
3174,1936,-3.127208636342377,66
3175,1936,-2.933133131797471,67
3176,1936,-2.8528447860054436,68
3177,1936,-3.0865326378804876,69
3178,1936,-2.5042118008460057,70
3179,1936,-3.048711198344878,71
3180,1936,-2.4255440003944932,72
3181,1936,-2.5092403268034533,73
3182,1936,-2.3046873010859157,74
3183,1936,-2.2562741901307954,75
3184,1936,-2.200570167587316,76
3185,1936,-1.971987219565433,77
3186,1936,-1.788684202711127,78
3187,1936,-2.0790416216585093,79
3188,1936,-1.754521489623251,80
3189,1936,-2.224051215339939,81
3190,1936,-1.8284027069268933,82
3191,1936,-1.9475715283819794,83
3192,1936,-1.612442421454399,84
3193,1936,-1.6123421255814903,85
3194,1936,-1.513355303757056,86
3195,1936,-1.6148525451355993,87
3196,1936,-1.4660304491393714,88
3197,1936,-1.5886553732515718,89
3198,1936,-1.105606692581069,90
3199,1936,-1.9314354153010016,91
3200,1936,-1.336438098768461,92
3201,1936,-1.6186804938010328,93
3202,1936,-1.4103821566489807,94
3203,1936,-1.2309672307249135,95
3204,1936,-1.192505472885042,96
3205,1936,-1.1552461342357025,97
3206,1936,-1.1192028262841187,98
3207,1936,-1.08435441692141,99
3208,1936,-1.0507082312610552,100
3209,1936,-1.0182680879866197,101
3210,1936,-0.9870351363999128,102
3211,1936,-0.9569825265374461,103
3212,1936,-0.9281103086794973,104
3213,1936,-0.9003927767213823,105
3214,1936,-0.8738540416768984,106
3215,1936,-0.8484218251323273,107
3216,1936,-0.8240990458846807,108
3217,1936,-0.8008660304587377,109
3218,1936,0.0,110+
3219,1937,-1.9475715283819794,0
3220,1937,-3.066584014525942,1
3221,1937,-3.8873303928377747,2
3222,1937,-4.458475806837288,3
3223,1937,-4.860062435616881,4
3224,1937,-5.092930536823086,5
3225,1937,-5.294325345278499,6
3226,1937,-5.470292631287847,7
3227,1937,-5.637994734118198,8
3228,1937,-5.710807089593166,9
3229,1937,-5.769922277160746,10
3230,1937,-5.856933654150375,11
3231,1937,-5.836171662701947,12
3232,1937,-5.896154367303657,13
